img_size,conf_thresh,iou_thresh,skip_interval,appearance_weight,MOTA,IDF1,FPS
640,0.2,0.3,1,0.0,0.9,0.78,22.625075413428828
640,0.2,0.3,1,0.0,0.9,0.78,22.20903535671759
320,0.2,0.3,5,0.0,0.9,0.81,42.176963153810085
960,0.8,0.3,5,1.0,0.8500000000000001,0.75,44.36949624515431
320,0.2,0.3,5,1.0,0.8,0.78,42.310874348894515
320,0.2,0.7,1,0.0,0.9,0.75,22.93855252039098
640,0.2,0.7,5,1.0,1.0,0.81,41.562630948072346
640,0.8,0.7,1,0.0,1.0,0.78,28.167330621818827
320,0.8,0.3,1,1.0,1.0,0.75,27.896454905316276
640,0.2,0.3,5,0.0,1.0,0.78,37.48785916569501
640,0.8,0.7,5,0.0,0.8500000000000001,0.78,50.047126678483885
640,0.8,0.7,1,0.0,1.0,0.78,26.220545011235945
960,0.8,0.3,5,1.0,0.8500000000000001,0.75,39.8379366815593
640,0.8,0.7,5,0.0,0.8500000000000001,0.78,52.23946952990207
640,0.2,0.3,1,0.0,0.9,0.78,23.215303380990978
640,0.2,0.7,5,0.0,1.0,0.78,37.75217322666184
320,0.2,0.7,1,1.0,1.0,0.75,21.037044335316875
960,0.2,0.7,5,1.0,0.9,0.81,35.711249364497775
640,0.8,0.3,1,1.0,0.9,0.81,26.33575993878072
320,0.2,0.7,1,0.0,0.9,0.75,23.098653871321936
640,0.2,0.7,5,1.0,1.0,0.81,38.64180206328005
640,0.2,0.7,1,0.0,0.9,0.78,22.296592482930183
320,0.2,0.7,5,0.0,0.9,0.81,45.229825083300724
640,0.2,0.3,5,1.0,1.0,0.81,37.73293182820249
640,0.2,0.3,5,1.0,1.0,0.81,36.77440338089895
640,0.2,0.7,1,0.0,0.9,0.78,21.65316562162637
640,0.2,0.7,5,1.0,1.0,0.81,36.701771467177835
640,0.2,0.7,1,0.0,0.9,0.78,22.213275230868597
320,0.8,0.3,1,1.0,1.0,0.75,29.20205072514114
640,0.2,0.7,5,0.0,1.0,0.78,35.23174336231813
640,0.2,0.7,5,0.0,1.0,0.78,39.222332588621256
640,0.8,0.7,1,0.0,1.0,0.78,27.8369150365933
960,0.8,0.3,5,1.0,0.8500000000000001,0.75,41.007926168621275
640,0.2,0.7,5,0.0,1.0,0.78,36.74746586897136
640,0.2,0.7,1,0.0,0.9,0.78,21.858365978733776
640,0.2,0.7,5,0.0,1.0,0.78,38.9075900129397
640,0.2,0.7,5,1.0,1.0,0.81,36.94451143383359
960,0.2,0.7,5,1.0,0.9,0.81,33.29806133467893
640,0.8,0.7,1,1.0,0.9,0.81,26.3161062393888
320,0.2,0.7,5,1.0,0.8,0.78,39.66930352229984
640,0.2,0.7,5,1.0,1.0,0.81,39.390593475184865
960,0.2,0.7,5,0.0,0.9500000000000001,0.75,35.54321126014692
640,0.2,0.7,5,0.0,1.0,0.78,39.96838818015209
640,0.2,0.7,5,0.0,1.0,0.78,39.71026093030654
640,0.2,0.7,5,1.0,1.0,0.81,38.87796816150551
640,0.2,0.7,5,1.0,1.0,0.81,40.24774998319477
640,0.2,0.7,5,1.0,1.0,0.81,41.198545611929845
960,0.2,0.7,5,0.0,0.9500000000000001,0.75,38.295589600984705
640,0.8,0.7,5,0.0,0.8500000000000001,0.78,47.053174925516906
960,0.2,0.7,5,1.0,0.9,0.81,36.08672070118627
640,0.2,0.7,5,1.0,1.0,0.81,38.54246087429016
960,0.2,0.7,5,1.0,0.9,0.81,37.99076161675358
640,0.2,0.3,5,1.0,1.0,0.81,41.11001337812894
640,0.2,0.7,5,1.0,1.0,0.81,40.21198963830284
640,0.2,0.7,5,1.0,1.0,0.81,39.45319629115006
640,0.2,0.7,5,1.0,1.0,0.81,39.84611028288223
960,0.2,0.7,5,1.0,0.9,0.81,36.81131861846275
640,0.2,0.7,5,1.0,1.0,0.81,39.319892621154835
640,0.2,0.7,5,1.0,1.0,0.81,38.25094284217749
640,0.2,0.7,5,1.0,1.0,0.81,40.10993611946743
960,0.2,0.7,5,1.0,0.9,0.81,37.95712458855921
960,0.2,0.7,5,1.0,0.9,0.81,37.20286517654353
640,0.2,0.7,5,1.0,1.0,0.81,40.01659702205276
640,0.2,0.7,5,0.0,1.0,0.78,40.38291683669058
640,0.2,0.7,5,1.0,1.0,0.81,39.426965856938914
960,0.2,0.7,5,1.0,0.9,0.81,37.38970594892954
640,0.2,0.7,5,1.0,1.0,0.81,41.233924441811425
960,0.2,0.7,5,1.0,0.9,0.81,38.065334354095505
640,0.2,0.7,5,0.0,1.0,0.78,40.03741220176613
960,0.2,0.7,5,1.0,0.9,0.81,38.096386066985666
