img_size,conf_thresh,iou_thresh,skip_interval,appearance_weight,MOTA,IDF1,FPS
640,0.2,0.7,1,0.0,0.9,0.78,20.204370625552297
640,0.8,0.7,1,1.0,0.9,0.81,26.25590167966742
640,0.2,0.3,1,0.0,0.9,0.78,20.797871925045506
640,0.8,0.3,1,1.0,0.9,0.81,20.007420041204025
640,0.2,0.7,1,1.0,1.0,0.75,16.587945286239105
640,0.2,0.3,1,1.0,1.0,0.75,17.006038931588503
640,0.8,0.7,1,0.0,1.0,0.78,20.08657088910735
640,0.8,0.7,5,0.0,0.8500000000000001,0.78,32.83023887071252
960,0.8,0.3,1,0.0,0.8500000000000001,0.81,17.516317282876372
320,0.2,0.3,1,0.0,0.9,0.75,16.777120080549068
640,0.8,0.7,1,0.0,1.0,0.78,19.826461406113243
960,0.2,0.3,1,1.0,0.9500000000000001,0.81,15.383750410848064
640,0.8,0.3,1,0.0,1.0,0.78,20.382280541596185
960,0.8,0.3,1,1.0,0.9500000000000001,0.81,18.697912132152826
320,0.2,0.3,5,0.0,0.9,0.81,30.463186092508202
960,0.2,0.3,1,0.0,0.8,0.75,15.125942942766322
640,0.8,0.7,5,0.0,0.8500000000000001,0.78,34.85403115758149
320,0.2,0.7,5,0.0,0.9,0.81,31.73662334939658
640,0.2,0.3,5,1.0,1.0,0.81,28.74352137745233
640,0.8,0.7,1,0.0,1.0,0.78,20.975256011568135
640,0.2,0.3,5,1.0,1.0,0.81,30.322617572750193
640,0.2,0.3,5,1.0,1.0,0.81,28.935577033032295
640,0.2,0.3,5,1.0,1.0,0.81,25.014195021853602
640,0.2,0.3,5,1.0,1.0,0.81,24.953396907937243
640,0.2,0.7,5,1.0,1.0,0.81,24.002099185810483
640,0.2,0.3,5,1.0,1.0,0.81,25.03219636920193
640,0.2,0.3,5,1.0,1.0,0.81,25.50730430507206
640,0.8,0.7,5,1.0,0.8500000000000001,0.78,30.696769151433912
640,0.2,0.3,1,1.0,1.0,0.75,14.878165409241355
640,0.2,0.3,5,1.0,1.0,0.81,26.070245872137637
640,0.2,0.3,5,1.0,1.0,0.81,25.898909585361825
640,0.2,0.3,5,1.0,1.0,0.81,26.226051541288484
640,0.2,0.3,5,1.0,1.0,0.81,30.428864437025297
640,0.2,0.3,5,1.0,1.0,0.81,29.558142640186816
640,0.2,0.3,5,1.0,1.0,0.81,29.417181159701016
640,0.2,0.3,5,1.0,1.0,0.81,30.193690265796583
