img_size,conf_thresh,iou_thresh,skip_interval,appearance_weight,MOTA,IDF1,FPS
320,0.8,0.3,5,1.0,0.8500000000000001,0.75,49.177
640,0.2,0.7,5,1.0,1.0,0.81,41.126
320,0.2,0.3,5,1.0,0.8,0.78,43.902
640,0.2,0.3,1,0.0,0.9,0.78,23.149
640,0.8,0.7,5,0.0,0.8500000000000001,0.78,48.434
960,0.2,0.7,5,0.0,0.9500000000000001,0.75,37.615
640,0.8,0.3,1,1.0,0.9,0.81,28.359
320,0.8,0.7,1,1.0,1.0,0.75,29.519
640,0.2,0.7,1,0.0,0.9,0.78,22.72
640,0.2,0.3,5,1.0,1.0,0.81,42.184
960,0.2,0.7,1,0.0,0.8,0.75,21.907
960,0.8,0.3,1,1.0,0.9500000000000001,0.81,25.569
640,0.2,0.7,1,0.0,0.9,0.78,22.775
320,0.8,0.7,1,1.0,1.0,0.75,28.695
640,0.8,0.3,5,1.0,0.8500000000000001,0.78,46.933
640,0.2,0.3,1,1.0,1.0,0.75,22.623
320,0.8,0.7,1,0.0,1.0,0.75,28.47
640,0.8,0.3,5,1.0,0.8500000000000001,0.78,47.876
320,0.8,0.7,1,0.0,1.0,0.75,27.969
640,0.2,0.7,1,1.0,1.0,0.75,22.551
640,0.8,0.3,5,1.0,0.8500000000000001,0.78,48.159
320,0.8,0.3,5,1.0,0.8500000000000001,0.75,50.654
640,0.8,0.7,1,0.0,1.0,0.78,28.449
640,0.2,0.7,1,1.0,1.0,0.75,22.881
320,0.8,0.7,1,1.0,1.0,0.75,30.144
640,0.2,0.3,5,1.0,1.0,0.81,41.445
640,0.8,0.3,1,0.0,1.0,0.78,28.82
960,0.2,0.7,1,0.0,0.8,0.75,21.902
640,0.8,0.3,5,1.0,0.8500000000000001,0.78,47.393
640,0.8,0.7,5,0.0,0.8500000000000001,0.78,48.857
320,0.8,0.7,1,1.0,1.0,0.75,28.649
640,0.8,0.7,1,0.0,1.0,0.78,28.687
960,0.2,0.7,1,0.0,0.8,0.75,22.08
640,0.2,0.7,1,0.0,0.9,0.78,23.145
960,0.8,0.3,1,1.0,0.9500000000000001,0.81,25.354
960,0.2,0.3,5,1.0,0.9,0.81,35.891
320,0.8,0.7,1,1.0,1.0,0.75,28.892
640,0.8,0.7,1,1.0,0.9,0.81,28.15
640,0.8,0.3,1,1.0,0.9,0.81,28.374
640,0.2,0.3,1,1.0,1.0,0.75,22.21
640,0.8,0.3,5,1.0,0.8500000000000001,0.78,48.026
640,0.2,0.7,5,1.0,1.0,0.81,40.775
640,0.8,0.7,1,1.0,0.9,0.81,28.052
640,0.2,0.3,1,0.0,0.9,0.78,22.797
