img_size,conf_thresh,iou_thresh,skip_interval,appearance_weight,MOTA,IDF1,FPS
320,0.2,0.3,1,0.0,0.9,0.75,22.189
640,0.8,0.3,5,1.0,0.8500000000000001,0.78,37.475
640,0.8,0.7,5,1.0,0.8500000000000001,0.78,33.609
640,0.2,0.7,5,0.0,1.0,0.78,30.368
640,0.2,0.3,5,1.0,1.0,0.81,30.06
640,0.2,0.3,1,0.0,0.9,0.78,15.997
640,0.8,0.7,5,0.0,0.8500000000000001,0.78,31.028
640,0.2,0.7,1,0.0,0.9,0.78,16.41
320,0.2,0.3,1,1.0,1.0,0.75,16.5
960,0.2,0.3,5,1.0,0.9,0.81,28.861
640,0.2,0.3,5,1.0,1.0,0.81,31.061
640,0.8,0.3,1,1.0,0.9,0.81,20.896
640,0.8,0.7,1,0.0,1.0,0.78,18.505
320,0.2,0.7,5,0.0,0.9,0.81,29.182
640,0.8,0.7,5,0.0,0.8500000000000001,0.78,31.514
320,0.2,0.7,1,0.0,0.9,0.75,16.851
640,0.8,0.3,1,1.0,0.9,0.81,20.617
640,0.8,0.7,5,1.0,0.8500000000000001,0.78,34.686
960,0.8,0.7,1,0.0,0.8500000000000001,0.81,18.044
640,0.8,0.3,1,1.0,0.9,0.81,19.594
640,0.2,0.3,5,1.0,1.0,0.81,29.459
640,0.2,0.3,5,1.0,1.0,0.81,29.702
640,0.2,0.7,5,1.0,1.0,0.81,29.034
640,0.2,0.3,5,1.0,1.0,0.81,31.274
640,0.2,0.3,5,1.0,1.0,0.81,31.387
640,0.2,0.3,5,1.0,1.0,0.81,31.679
640,0.8,0.3,5,0.0,0.8500000000000001,0.78,36.028
640,0.2,0.7,5,1.0,1.0,0.81,31.164
640,0.2,0.3,5,1.0,1.0,0.81,30.489
640,0.2,0.3,5,1.0,1.0,0.81,29.384
640,0.2,0.3,5,1.0,1.0,0.81,30.045
640,0.2,0.3,5,1.0,1.0,0.81,29.741
640,0.2,0.7,5,1.0,1.0,0.81,31.497
640,0.2,0.3,5,1.0,1.0,0.81,31.193
640,0.2,0.7,5,1.0,1.0,0.81,27.784
640,0.2,0.7,5,1.0,1.0,0.81,31.411
640,0.2,0.3,5,1.0,1.0,0.81,31.419
640,0.8,0.3,5,1.0,0.8500000000000001,0.78,32.899
640,0.2,0.3,5,1.0,1.0,0.81,31.259
640,0.2,0.3,5,1.0,1.0,0.81,29.633
640,0.2,0.7,5,1.0,1.0,0.81,30.429
640,0.2,0.7,5,1.0,1.0,0.81,30.103
640,0.2,0.7,5,1.0,1.0,0.81,31.1
640,0.2,0.7,5,1.0,1.0,0.81,30.874
640,0.2,0.7,5,1.0,1.0,0.81,30.853
640,0.2,0.7,5,1.0,1.0,0.81,31.295
640,0.2,0.7,5,1.0,1.0,0.81,29.981
640,0.2,0.7,5,1.0,1.0,0.81,31.454
640,0.2,0.7,5,1.0,1.0,0.81,31.597
640,0.2,0.7,5,1.0,1.0,0.81,28.704
640,0.2,0.7,5,1.0,1.0,0.81,29.008
640,0.2,0.3,5,1.0,1.0,0.81,31.092
640,0.2,0.7,5,1.0,1.0,0.81,31.127
640,0.2,0.7,5,1.0,1.0,0.81,30.844
640,0.2,0.7,5,1.0,1.0,0.81,29.946
640,0.2,0.7,5,1.0,1.0,0.81,30.49
640,0.2,0.7,5,1.0,1.0,0.81,30.103
640,0.2,0.3,5,1.0,1.0,0.81,29.804
640,0.2,0.7,5,1.0,1.0,0.81,29.767
640,0.2,0.7,5,1.0,1.0,0.81,30.236
640,0.2,0.7,5,1.0,1.0,0.81,30.008
640,0.2,0.7,5,1.0,1.0,0.81,28.697
640,0.2,0.7,5,1.0,1.0,0.81,29.706
640,0.2,0.7,5,1.0,1.0,0.81,28.906
640,0.2,0.7,5,1.0,1.0,0.81,27.976
640,0.2,0.7,5,1.0,1.0,0.81,28.976
640,0.2,0.7,5,1.0,1.0,0.81,28.775
640,0.2,0.7,5,1.0,1.0,0.81,31.112
640,0.2,0.7,5,1.0,1.0,0.81,30.697
640,0.2,0.7,5,1.0,1.0,0.81,30.923
640,0.2,0.7,5,1.0,1.0,0.81,31.099
640,0.2,0.7,5,1.0,1.0,0.81,31.146
640,0.2,0.7,5,1.0,1.0,0.81,31.324
640,0.2,0.7,5,1.0,1.0,0.81,30.116
640,0.2,0.7,5,1.0,1.0,0.81,28.65
640,0.2,0.7,5,1.0,1.0,0.81,29.102
640,0.2,0.7,5,1.0,1.0,0.81,28.449
640,0.2,0.7,5,1.0,1.0,0.81,28.701
640,0.2,0.7,5,1.0,1.0,0.81,29.009
640,0.2,0.7,5,1.0,1.0,0.81,29.636
640,0.2,0.7,5,1.0,1.0,0.81,28.468
640,0.2,0.7,5,1.0,1.0,0.81,27.984
640,0.2,0.7,5,1.0,1.0,0.81,26.95
640,0.2,0.7,5,1.0,1.0,0.81,28.727
640,0.2,0.7,5,1.0,1.0,0.81,30.503
640,0.2,0.7,5,1.0,1.0,0.81,28.134
640,0.2,0.7,5,1.0,1.0,0.81,26.269
640,0.2,0.7,5,1.0,1.0,0.81,33.122
640,0.2,0.7,5,1.0,1.0,0.81,37.912
640,0.2,0.7,5,1.0,1.0,0.81,37.732
640,0.2,0.7,5,1.0,1.0,0.81,37.204
640,0.2,0.7,5,1.0,1.0,0.81,39.396
640,0.2,0.7,5,1.0,1.0,0.81,40.682
640,0.2,0.7,5,1.0,1.0,0.81,39.496
640,0.2,0.7,5,1.0,1.0,0.81,42.015
640,0.2,0.7,5,1.0,1.0,0.81,38.574
640,0.2,0.7,5,1.0,1.0,0.81,43.078
640,0.2,0.7,5,1.0,1.0,0.81,38.537
640,0.2,0.7,5,1.0,1.0,0.81,38.278
640,0.2,0.7,5,1.0,1.0,0.81,40.686
640,0.2,0.7,5,1.0,1.0,0.81,38.14
640,0.2,0.7,5,1.0,1.0,0.81,38.459
