img_size,conf_thresh,iou_thresh,skip_interval,appearance_weight,MOTA,IDF1,FPS
320,0.2,0.7,5,1.0,0.8,0.78,43.552
320,0.2,0.7,1,0.0,0.9,0.75,23.374
960,0.8,0.3,5,1.0,0.8500000000000001,0.75,44.171
960,0.8,0.7,5,0.0,0.8500000000000001,0.75,44.902
960,0.8,0.3,5,0.0,0.8500000000000001,0.75,46.208
640,0.8,0.3,1,1.0,0.9,0.81,26.936
640,0.2,0.3,5,0.0,1.0,0.78,42.868
640,0.8,0.7,1,0.0,1.0,0.78,27.904
960,0.8,0.7,1,0.0,0.8500000000000001,0.81,27.494
320,0.2,0.3,5,1.0,0.8,0.78,43.829
640,0.2,0.7,5,0.0,1.0,0.78,42.185
640,0.2,0.3,1,1.0,1.0,0.75,23.071
640,0.8,0.3,5,1.0,0.8500000000000001,0.78,49.16
960,0.8,0.7,5,0.0,0.8500000000000001,0.75,42.678
960,0.2,0.7,1,0.0,0.8,0.75,22.477
640,0.2,0.7,1,0.0,0.9,0.78,24.505
960,0.2,0.3,1,1.0,0.9500000000000001,0.81,21.74
960,0.2,0.7,5,0.0,0.9500000000000001,0.75,39.253
320,0.8,0.3,1,1.0,1.0,0.75,29.888
640,0.2,0.3,1,0.0,0.9,0.78,22.624
640,0.8,0.7,1,0.0,1.0,0.78,28.813
640,0.8,0.7,1,0.0,1.0,0.78,29.145
640,0.8,0.7,1,0.0,1.0,0.78,27.192
640,0.8,0.7,1,0.0,1.0,0.78,29.937
640,0.8,0.7,1,0.0,1.0,0.78,27.668
640,0.8,0.3,1,0.0,1.0,0.78,28.128
640,0.8,0.7,1,0.0,1.0,0.78,29.616
640,0.8,0.7,1,0.0,1.0,0.78,27.4
640,0.8,0.7,1,0.0,1.0,0.78,29.705
640,0.8,0.7,1,0.0,1.0,0.78,27.946
640,0.8,0.7,1,0.0,1.0,0.78,29.036
640,0.8,0.3,1,0.0,1.0,0.78,30.051
640,0.8,0.7,1,0.0,1.0,0.78,27.467
640,0.8,0.7,1,0.0,1.0,0.78,30.105
640,0.8,0.7,1,0.0,1.0,0.78,27.913
640,0.8,0.7,1,0.0,1.0,0.78,27.923
640,0.8,0.7,1,1.0,0.9,0.81,29.405
640,0.8,0.7,1,0.0,1.0,0.78,28.077
640,0.8,0.7,1,0.0,1.0,0.78,28.862
640,0.8,0.7,1,0.0,1.0,0.78,28.721
640,0.8,0.7,1,0.0,1.0,0.78,27.536
640,0.8,0.7,1,0.0,1.0,0.78,29.576
640,0.8,0.7,1,0.0,1.0,0.78,28.767
640,0.8,0.7,1,0.0,1.0,0.78,28.386
640,0.8,0.7,1,0.0,1.0,0.78,29.241
640,0.8,0.7,1,0.0,1.0,0.78,27.595
640,0.8,0.7,1,0.0,1.0,0.78,30.419
640,0.8,0.7,1,0.0,1.0,0.78,28.108
640,0.8,0.7,1,0.0,1.0,0.78,28.05
640,0.8,0.7,1,0.0,1.0,0.78,29.506
640,0.8,0.7,1,0.0,1.0,0.78,27.645
640,0.8,0.3,1,0.0,1.0,0.78,29.115
640,0.8,0.7,1,0.0,1.0,0.78,28.599
640,0.8,0.7,1,0.0,1.0,0.78,28.273
640,0.8,0.7,1,0.0,1.0,0.78,29.757
640,0.8,0.7,1,0.0,1.0,0.78,27.251
640,0.8,0.7,1,0.0,1.0,0.78,28.773
640,0.8,0.7,1,0.0,1.0,0.78,28.588
640,0.8,0.7,1,0.0,1.0,0.78,27.966
640,0.8,0.7,1,0.0,1.0,0.78,29.378
640,0.8,0.7,1,0.0,1.0,0.78,27.958
640,0.8,0.7,1,0.0,1.0,0.78,29.153
640,0.8,0.7,1,0.0,1.0,0.78,29.294
640,0.8,0.7,1,0.0,1.0,0.78,26.948
640,0.8,0.7,1,0.0,1.0,0.78,29.313
640,0.8,0.7,1,0.0,1.0,0.78,27.732
640,0.8,0.7,1,0.0,1.0,0.78,28.032
640,0.8,0.7,1,0.0,1.0,0.78,29.0
640,0.8,0.7,1,0.0,1.0,0.78,27.733
640,0.8,0.7,1,0.0,1.0,0.78,29.331
640,0.8,0.7,1,0.0,1.0,0.78,27.367
640,0.8,0.7,1,0.0,1.0,0.78,28.229
640,0.8,0.7,1,0.0,1.0,0.78,27.831
640,0.8,0.7,1,0.0,1.0,0.78,27.325
640,0.8,0.7,1,0.0,1.0,0.78,28.323
640,0.8,0.7,1,0.0,1.0,0.78,27.894
640,0.8,0.7,1,0.0,1.0,0.78,28.16
640,0.8,0.7,1,0.0,1.0,0.78,28.077
640,0.8,0.7,1,0.0,1.0,0.78,27.822
640,0.8,0.7,1,0.0,1.0,0.78,28.014
640,0.8,0.7,1,0.0,1.0,0.78,28.152
640,0.8,0.7,1,0.0,1.0,0.78,26.915
640,0.8,0.7,1,0.0,1.0,0.78,27.595
640,0.8,0.7,1,0.0,1.0,0.78,27.989
640,0.8,0.7,1,0.0,1.0,0.78,28.338
640,0.8,0.7,1,0.0,1.0,0.78,28.201
640,0.8,0.7,1,0.0,1.0,0.78,27.942
640,0.8,0.7,1,0.0,1.0,0.78,28.298
640,0.8,0.7,1,0.0,1.0,0.78,27.833
640,0.8,0.7,1,0.0,1.0,0.78,27.749
640,0.8,0.7,1,0.0,1.0,0.78,28.944
640,0.8,0.7,1,0.0,1.0,0.78,27.634
640,0.8,0.7,1,0.0,1.0,0.78,27.408
640,0.8,0.7,1,0.0,1.0,0.78,27.694
640,0.8,0.7,1,0.0,1.0,0.78,27.73
640,0.8,0.7,1,0.0,1.0,0.78,27.81
640,0.8,0.7,1,0.0,1.0,0.78,27.631
640,0.8,0.7,1,0.0,1.0,0.78,27.237
640,0.8,0.7,1,0.0,1.0,0.78,27.923
640,0.8,0.7,1,0.0,1.0,0.78,27.633
640,0.8,0.7,1,0.0,1.0,0.78,27.889
640,0.8,0.7,1,0.0,1.0,0.78,27.919
640,0.8,0.7,1,0.0,1.0,0.78,27.064
640,0.8,0.7,1,0.0,1.0,0.78,27.149
640,0.8,0.7,1,0.0,1.0,0.78,27.896
640,0.8,0.7,1,0.0,1.0,0.78,26.897
640,0.8,0.7,1,0.0,1.0,0.78,27.616
640,0.8,0.7,1,0.0,1.0,0.78,27.592
640,0.8,0.7,1,0.0,1.0,0.78,27.182
640,0.8,0.7,1,0.0,1.0,0.78,28.287
640,0.8,0.7,1,0.0,1.0,0.78,27.527
640,0.8,0.7,1,0.0,1.0,0.78,27.923
640,0.8,0.7,1,0.0,1.0,0.78,27.435
640,0.8,0.7,1,0.0,1.0,0.78,26.939
640,0.8,0.7,1,0.0,1.0,0.78,27.94
640,0.8,0.7,1,0.0,1.0,0.78,27.146
640,0.8,0.7,1,0.0,1.0,0.78,27.034
640,0.8,0.7,1,0.0,1.0,0.78,27.763
640,0.8,0.7,1,0.0,1.0,0.78,26.791
640,0.8,0.7,1,0.0,1.0,0.78,27.439
640,0.8,0.7,1,0.0,1.0,0.78,27.477
640,0.8,0.7,1,0.0,1.0,0.78,26.83
640,0.8,0.7,1,0.0,1.0,0.78,28.131
640,0.8,0.7,1,0.0,1.0,0.78,27.428
640,0.8,0.7,1,0.0,1.0,0.78,26.87
640,0.8,0.7,1,0.0,1.0,0.78,28.446
640,0.8,0.7,1,0.0,1.0,0.78,27.096
640,0.8,0.7,1,0.0,1.0,0.78,28.032
640,0.8,0.7,1,0.0,1.0,0.78,27.238
640,0.8,0.7,1,0.0,1.0,0.78,26.549
640,0.8,0.7,1,0.0,1.0,0.78,27.861
640,0.8,0.7,1,0.0,1.0,0.78,27.115
640,0.8,0.7,1,0.0,1.0,0.78,26.842
640,0.8,0.7,1,0.0,1.0,0.78,27.768
640,0.8,0.7,1,0.0,1.0,0.78,26.588
640,0.8,0.7,1,0.0,1.0,0.78,27.754
640,0.8,0.7,1,0.0,1.0,0.78,27.224
640,0.8,0.7,1,0.0,1.0,0.78,26.424
640,0.8,0.7,1,0.0,1.0,0.78,28.544
640,0.8,0.7,1,0.0,1.0,0.78,27.112
640,0.8,0.7,1,0.0,1.0,0.78,26.278
640,0.8,0.7,1,0.0,1.0,0.78,27.789
640,0.8,0.7,1,0.0,1.0,0.78,27.561
640,0.8,0.7,1,0.0,1.0,0.78,26.628
640,0.8,0.7,1,0.0,1.0,0.78,28.44
640,0.8,0.7,1,0.0,1.0,0.78,27.703
640,0.8,0.7,1,0.0,1.0,0.78,27.744
640,0.8,0.7,1,0.0,1.0,0.78,27.646
640,0.8,0.7,1,0.0,1.0,0.78,27.347
640,0.8,0.7,1,0.0,1.0,0.78,27.444
640,0.8,0.7,1,0.0,1.0,0.78,27.372
640,0.8,0.7,1,0.0,1.0,0.78,20.637
640,0.8,0.7,1,0.0,1.0,0.78,20.445
640,0.8,0.7,1,0.0,1.0,0.78,20.888
640,0.8,0.7,1,0.0,1.0,0.78,21.421
640,0.8,0.7,1,0.0,1.0,0.78,21.183
640,0.8,0.7,1,0.0,1.0,0.78,21.032
640,0.8,0.7,1,0.0,1.0,0.78,20.386
640,0.8,0.7,1,0.0,1.0,0.78,20.259
640,0.8,0.7,1,0.0,1.0,0.78,20.849
640,0.8,0.7,1,0.0,1.0,0.78,19.065
640,0.8,0.7,1,0.0,1.0,0.78,20.182
640,0.8,0.7,1,0.0,1.0,0.78,21.911
640,0.8,0.7,1,0.0,1.0,0.78,21.178
640,0.8,0.7,1,0.0,1.0,0.78,19.509
640,0.8,0.7,1,0.0,1.0,0.78,19.504
640,0.8,0.7,1,0.0,1.0,0.78,19.493
640,0.8,0.7,1,0.0,1.0,0.78,19.345
640,0.8,0.7,1,0.0,1.0,0.78,19.469
640,0.8,0.7,1,0.0,1.0,0.78,19.705
640,0.8,0.7,1,0.0,1.0,0.78,20.222
640,0.8,0.7,1,0.0,1.0,0.78,20.385
640,0.8,0.7,1,0.0,1.0,0.78,20.043
640,0.8,0.7,1,0.0,1.0,0.78,20.069
640,0.8,0.7,1,0.0,1.0,0.78,20.029
640,0.8,0.7,1,0.0,1.0,0.78,19.993
640,0.8,0.7,1,0.0,1.0,0.78,26.458
640,0.8,0.7,1,0.0,1.0,0.78,28.45
640,0.8,0.7,1,0.0,1.0,0.78,29.103
640,0.8,0.7,1,0.0,1.0,0.78,30.33
640,0.8,0.7,1,0.0,1.0,0.78,28.35
640,0.8,0.7,1,0.0,1.0,0.78,29.683
640,0.8,0.7,1,0.0,1.0,0.78,28.675
640,0.8,0.7,1,0.0,1.0,0.78,28.601
640,0.8,0.7,1,0.0,1.0,0.78,29.745
640,0.8,0.7,1,0.0,1.0,0.78,28.32
640,0.8,0.7,1,0.0,1.0,0.78,29.58
640,0.8,0.7,1,0.0,1.0,0.78,29.428
640,0.8,0.7,1,0.0,1.0,0.78,29.086
640,0.8,0.7,1,0.0,1.0,0.78,30.092
640,0.8,0.7,1,0.0,1.0,0.78,28.258
640,0.8,0.7,1,0.0,1.0,0.78,29.333
640,0.8,0.7,1,0.0,1.0,0.78,29.041
640,0.8,0.7,1,0.0,1.0,0.78,28.905
640,0.8,0.7,1,0.0,1.0,0.78,29.285
640,0.8,0.7,1,0.0,1.0,0.78,28.505
640,0.8,0.7,1,0.0,1.0,0.78,29.726
640,0.8,0.7,1,0.0,1.0,0.78,30.036
640,0.8,0.7,1,0.0,1.0,0.78,28.424
640,0.8,0.7,1,0.0,1.0,0.78,29.779
640,0.8,0.7,1,0.0,1.0,0.78,28.213
640,0.8,0.7,1,0.0,1.0,0.78,28.936
640,0.8,0.7,1,0.0,1.0,0.78,29.324
640,0.8,0.7,1,0.0,1.0,0.78,27.676
640,0.8,0.7,1,0.0,1.0,0.78,30.338
640,0.8,0.7,1,0.0,1.0,0.78,28.945
640,0.8,0.7,1,0.0,1.0,0.78,29.454
640,0.8,0.7,1,0.0,1.0,0.78,29.847
640,0.8,0.7,1,0.0,1.0,0.78,28.385
640,0.8,0.7,1,0.0,1.0,0.78,30.372
640,0.8,0.7,1,0.0,1.0,0.78,28.264
640,0.8,0.7,1,0.0,1.0,0.78,29.034
640,0.8,0.7,1,0.0,1.0,0.78,30.0
640,0.8,0.7,1,0.0,1.0,0.78,28.382
640,0.8,0.7,1,0.0,1.0,0.78,29.117
640,0.8,0.7,1,0.0,1.0,0.78,28.67
640,0.8,0.7,1,0.0,1.0,0.78,28.046
640,0.8,0.7,1,0.0,1.0,0.78,29.65
640,0.8,0.7,1,0.0,1.0,0.78,28.447
640,0.8,0.7,1,0.0,1.0,0.78,29.766
640,0.8,0.7,1,0.0,1.0,0.78,29.823
640,0.8,0.7,1,0.0,1.0,0.78,29.693
640,0.8,0.7,1,0.0,1.0,0.78,30.317
640,0.8,0.7,1,0.0,1.0,0.78,27.682
640,0.8,0.7,1,0.0,1.0,0.78,29.598
640,0.8,0.7,1,0.0,1.0,0.78,28.939
640,0.8,0.7,1,0.0,1.0,0.78,28.678
640,0.8,0.7,1,0.0,1.0,0.78,29.645
640,0.8,0.7,1,0.0,1.0,0.78,28.572
640,0.8,0.7,1,0.0,1.0,0.78,29.136
640,0.8,0.7,1,0.0,1.0,0.78,29.383
640,0.8,0.7,1,0.0,1.0,0.78,28.384
640,0.8,0.7,1,0.0,1.0,0.78,30.185
640,0.8,0.7,1,0.0,1.0,0.78,27.895
640,0.8,0.7,1,0.0,1.0,0.78,29.102
640,0.8,0.7,1,0.0,1.0,0.78,29.318
640,0.8,0.7,1,0.0,1.0,0.78,28.867
640,0.8,0.7,1,0.0,1.0,0.78,29.103
640,0.8,0.7,1,0.0,1.0,0.78,28.136
640,0.8,0.7,1,0.0,1.0,0.78,29.143
640,0.8,0.7,1,0.0,1.0,0.78,29.259
640,0.8,0.7,1,0.0,1.0,0.78,28.294
640,0.8,0.7,1,0.0,1.0,0.78,30.386
640,0.8,0.7,1,0.0,1.0,0.78,29.022
640,0.8,0.7,1,0.0,1.0,0.78,28.839
640,0.8,0.7,1,0.0,1.0,0.78,29.501
640,0.8,0.7,1,0.0,1.0,0.78,28.353
640,0.8,0.7,1,0.0,1.0,0.78,30.015
640,0.8,0.7,1,0.0,1.0,0.78,28.2
640,0.8,0.7,1,0.0,1.0,0.78,28.497
640,0.8,0.7,1,0.0,1.0,0.78,30.115
640,0.8,0.7,1,0.0,1.0,0.78,28.734
640,0.8,0.7,1,0.0,1.0,0.78,29.526
640,0.8,0.7,1,0.0,1.0,0.78,28.411
640,0.8,0.7,1,0.0,1.0,0.78,29.016
640,0.8,0.7,1,0.0,1.0,0.78,30.146
640,0.8,0.7,1,0.0,1.0,0.78,28.321
640,0.8,0.7,1,0.0,1.0,0.78,29.74
640,0.8,0.7,1,0.0,1.0,0.78,28.57
640,0.8,0.7,1,0.0,1.0,0.78,28.756
640,0.8,0.7,1,0.0,1.0,0.78,29.561
640,0.8,0.7,1,0.0,1.0,0.78,28.839
640,0.8,0.7,1,0.0,1.0,0.78,29.989
640,0.8,0.7,1,0.0,1.0,0.78,29.172
640,0.8,0.7,1,0.0,1.0,0.78,28.207
640,0.8,0.7,1,0.0,1.0,0.78,30.175
640,0.8,0.7,1,0.0,1.0,0.78,28.811
640,0.8,0.7,1,0.0,1.0,0.78,29.731
640,0.8,0.7,1,0.0,1.0,0.78,29.126
640,0.8,0.7,1,0.0,1.0,0.78,28.794
640,0.8,0.7,1,0.0,1.0,0.78,29.123
640,0.8,0.7,1,0.0,1.0,0.78,28.128
640,0.8,0.7,1,0.0,1.0,0.78,29.353
640,0.8,0.7,1,0.0,1.0,0.78,29.7
640,0.8,0.7,1,0.0,1.0,0.78,27.716
640,0.8,0.7,1,0.0,1.0,0.78,30.423
640,0.8,0.7,1,0.0,1.0,0.78,28.622
640,0.8,0.7,1,0.0,1.0,0.78,29.402
640,0.8,0.7,1,0.0,1.0,0.78,29.721
640,0.8,0.7,1,0.0,1.0,0.78,28.484
640,0.8,0.7,1,0.0,1.0,0.78,29.813
640,0.8,0.7,1,0.0,1.0,0.78,28.895
640,0.8,0.7,1,0.0,1.0,0.78,28.853
640,0.8,0.7,1,0.0,1.0,0.78,29.698
640,0.8,0.7,1,0.0,1.0,0.78,28.24
640,0.8,0.7,1,0.0,1.0,0.78,29.459
640,0.8,0.7,1,0.0,1.0,0.78,28.26
640,0.8,0.7,1,0.0,1.0,0.78,28.576
640,0.8,0.7,1,0.0,1.0,0.78,30.255
640,0.8,0.7,1,0.0,1.0,0.78,28.375
640,0.8,0.7,1,0.0,1.0,0.78,29.334
640,0.8,0.7,1,0.0,1.0,0.78,28.762
640,0.8,0.7,1,0.0,1.0,0.78,28.475
640,0.8,0.7,1,0.0,1.0,0.78,29.991
640,0.8,0.7,1,0.0,1.0,0.78,28.205
640,0.8,0.7,1,0.0,1.0,0.78,29.011
640,0.8,0.7,1,0.0,1.0,0.78,29.058
640,0.8,0.7,1,0.0,1.0,0.78,28.231
640,0.8,0.7,1,0.0,1.0,0.78,29.511
640,0.8,0.7,1,0.0,1.0,0.78,28.145
640,0.8,0.7,1,0.0,1.0,0.78,29.157
640,0.8,0.7,1,0.0,1.0,0.78,29.998
640,0.8,0.7,1,0.0,1.0,0.78,28.128
640,0.8,0.7,1,0.0,1.0,0.78,29.524
640,0.8,0.7,1,0.0,1.0,0.78,27.727
640,0.8,0.7,1,0.0,1.0,0.78,29.1
640,0.8,0.7,1,0.0,1.0,0.78,29.74
640,0.8,0.7,1,0.0,1.0,0.78,28.227
640,0.8,0.7,1,0.0,1.0,0.78,30.146
640,0.8,0.7,1,0.0,1.0,0.78,29.631
640,0.8,0.7,1,0.0,1.0,0.78,29.814
640,0.8,0.7,1,0.0,1.0,0.78,30.169
640,0.8,0.7,1,0.0,1.0,0.78,28.909
640,0.8,0.7,1,0.0,1.0,0.78,28.949
640,0.8,0.7,1,0.0,1.0,0.78,28.459
640,0.8,0.7,1,0.0,1.0,0.78,28.558
640,0.8,0.7,1,0.0,1.0,0.78,30.29
640,0.8,0.7,1,0.0,1.0,0.78,28.473
640,0.8,0.7,1,0.0,1.0,0.78,29.836
